precipitation_sum,et0_fao_evapotranspiration,precipitation_hours,river_discharge,dewpoint_2m_max,soil_moisture_0_to_7cm,soil_moisture_28_to_100cm,rainfall_3d,rainfall_7d,humidity,is_monsoon,flood_risk
0.0,9.08,0.0,0.28,14.3,0.229,0.283,0.0,0.0,0.0,0,0
0.0,10.09,0.0,0.28,10.2,0.228625,0.283,0.0,0.0,0.0,0,0
0.0,10.05,0.0,0.28,7.4,0.2282083333333333,0.283,0.0,0.0,0.0,0,0
0.0,9.37,0.0,0.28,13.2,0.228,0.2827916666666666,0.0,0.0,0.0,0,0
0.0,7.98,0.0,0.28,20.0,0.228,0.2825,0.0,0.0,0.0,0,0
0.0,8.99,0.0,0.28,17.6,0.228,0.282,0.0,0.0,0.0,0,0
0.0,9.82,0.0,0.28,12.1,0.228,0.282,0.0,0.0,0.0,0,0
0.0,12.76,0.0,0.28,13.2,0.228,0.282,0.0,0.0,0.0,0,0
0.0,12.47,0.0,0.28,17.2,0.228,0.282,0.0,0.0,0.0,0,0
0.0,11.46,0.0,0.28,20.0,0.228,0.282,0.0,0.0,0.0,0,0
0.0,9.91,0.0,0.28,21.2,0.228,0.282,0.0,0.0,0.0,0,0
0.0,9.89,0.0,0.28,21.1,0.228,0.282,0.0,0.0,0.0,0,0
0.0,9.95,0.0,0.28,20.0,0.228,0.282,0.0,0.0,0.0,0,0
0.0,9.99,0.0,0.28,19.8,0.228,0.282,0.0,0.0,0.0,0,0
0.0,8.85,0.0,0.28,16.6,0.228,0.282,0.0,0.0,0.0,0,0
0.0,9.22,0.0,0.28,16.5,0.228,0.282,0.0,0.0,0.0,1,0
0.0,10.09,0.0,0.28,19.1,0.228,0.282,0.0,0.0,0.0,1,0
0.5,8.71,2.0,0.28,20.9,0.2290833333333333,0.282,0.5,0.5,5.999999999999972,1,0
0.0,9.06,0.0,0.28,20.3,0.230375,0.282,0.5,0.5,6.0,1,0
0.0,10.09,0.0,0.28,19.8,0.229875,0.282,0.5,0.5,0.0,1,0
0.0,9.01,0.0,0.28,18.6,0.229,0.282,0.0,0.5,0.0,1,0
0.0,9.18,0.0,0.28,19.4,0.2292916666666666,0.282,0.0,0.5,4.5,1,0
0.0,7.1,0.0,0.28,21.5,0.23,0.282,0.0,0.5,27.0,1,0
0.0,6.96,0.0,0.28,15.6,0.2295,0.282,0.0,0.5,0.0,1,0
0.0,8.28,0.0,0.28,13.9,0.229,0.282,0.0,0.0,0.0,1,0
0.0,9.69,0.0,0.28,10.9,0.229,0.2817083333333333,0.0,0.0,0.0,1,0
0.0,9.05,0.0,0.28,13.7,0.229,0.2814583333333333,0.0,0.0,0.0,1,0
0.0,7.68,0.0,0.28,12.5,0.229,0.281,0.0,0.0,0.0,1,0
1.1,7.9,2.0,0.28,22.0,0.2315416666666666,0.281,1.1,1.1,7.5,1,0
13.7,5.19,7.0,0.81,24.1,0.2590416666666666,0.281,14.8,14.8,41.000000000000014,1,0
13.5,2.69,13.0,1.06,24.2,0.4566666666666667,0.281,28.3,28.3,65.49999999999999,1,1
5.2,2.67,10.0,0.85,24.2,0.4355833333333334,0.2816666666666667,32.4,33.5,58.5,1,0
0.0,6.04,0.0,0.61,23.4,0.3938333333333333,0.282,18.700000000000003,33.5,32.5,1,0
0.0,6.7,0.0,0.47,23.5,0.3501666666666667,0.282,5.2,33.5,26.499999999999982,1,0
1.2,7.21,1.0,0.41,23.3,0.3187083333333333,0.282,1.2,34.7,25.499999999999982,1,0
0.9,7.59,1.0,0.36,23.3,0.3028333333333333,0.282,2.1,34.5,21.5,1,0
1.0,7.51,1.0,0.33,22.9,0.2920416666666666,0.282,3.1,21.8,22.5,1,0
0.5,7.32,1.0,0.31,22.8,0.2811666666666667,0.282,2.4,8.8,21.5,1,0
1.8,6.49,5.0,0.31,22.8,0.2751666666666667,0.282,3.3000000000000003,5.4,29.0,1,0
2.3,5.29,4.0,0.33,23.7,0.2718333333333333,0.282,4.6,7.699999999999999,36.0,1,0
2.4,5.59,7.0,0.36,24.1,0.2952499999999999,0.282,6.5,10.1,31.00000000000001,1,0
19.0,6.4,7.0,1.38,24.8,0.3150416666666666,0.282,23.7,27.9,32.500000000000014,1,1
24.0,4.2,13.0,1.53,25.4,0.4637916666666666,0.282,45.4,51.0,56.49999999999999,1,1
0.0,5.92,0.0,1.0,24.6,0.4374583333333333,0.282,43.0,50.0,51.50000000000002,1,0
0.4,6.27,2.0,0.66,22.6,0.3907916666666666,0.282,24.4,49.9,38.500000000000014,1,0
6.1,4.05,6.0,0.67,24.8,0.3819583333333333,0.2822083333333333,6.5,54.2,58.5,1,0
12.4,4.81,9.0,1.03,24.7,0.4468749999999999,0.283,18.9,64.3,53.5,1,1
20.6,3.17,17.0,1.55,24.8,0.4357083333333333,0.2832083333333333,39.1,82.5,70.5,1,1
9.9,2.89,15.0,1.5,24.6,0.4761666666666666,0.2855416666666666,42.9,73.4,76.00000000000001,1,1
6.1,3.69,9.0,1.19,23.7,0.4905,0.2897083333333333,36.6,55.5,65.49999999999999,1,0
10.2,3.49,16.0,1.03,24.3,0.4937499999999999,0.2939583333333333,26.2,65.7,71.0,1,1
20.4,3.16,15.0,1.42,24.0,0.492875,0.298875,36.7,85.69999999999999,67.5,1,1
5.1,2.62,14.0,1.22,23.6,0.500125,0.308875,35.7,84.7,73.0,1,0
1.2,3.04,6.0,0.8,23.4,0.4830833333333333,0.3153333333333333,26.7,73.49999999999999,67.0,1,0
0.6,4.13,4.0,0.55,23.1,0.4609166666666666,0.3187916666666666,6.9,53.5,61.000000000000014,1,0
7.0,3.13,11.0,0.55,24.1,0.46725,0.320625,8.8,50.6,70.5,1,0
1.0,4.17,6.0,0.52,22.7,0.4654583333333333,0.322375,8.6,45.5,63.5,1,0
0.3,4.5,2.0,0.42,22.6,0.44175,0.323625,8.3,35.599999999999994,57.000000000000014,1,0
1.7,3.74,6.0,0.45,23.8,0.4236666666666666,0.324,3.0,16.9,63.5,1,0
28.9,2.57,19.0,1.48,24.9,0.473875,0.3252916666666667,30.9,40.7,71.0,1,1
12.6,2.89,16.0,1.56,24.5,0.4576666666666666,0.3465416666666667,43.2,52.1,69.5,1,1
4.5,4.19,13.0,1.06,25.5,0.4875416666666667,0.3528333333333333,46.0,56.0,72.5,1,0
5.3,4.16,8.0,0.83,25.1,0.4796666666666667,0.3549166666666666,22.4,54.3,64.5,1,0
0.3,4.05,1.0,0.63,24.3,0.4680416666666667,0.3567499999999999,10.1,53.6,67.5,1,0
4.2,3.98,6.0,0.64,25.5,0.4519166666666667,0.3579166666666666,9.8,57.49999999999999,71.0,1,0
13.5,3.28,19.0,0.86,25.0,0.482875,0.3592083333333333,18.0,69.3,68.5,1,1
15.5,3.37,14.0,1.3,25.5,0.4821666666666666,0.3640833333333333,33.2,55.89999999999999,73.5,1,1
3.1,3.39,9.0,1.09,23.8,0.494,0.3745416666666667,32.1,46.4,70.0,1,0
5.6,2.42,12.0,0.89,23.9,0.4849166666666666,0.3792916666666666,24.2,47.5,77.0,1,0
7.5,1.6,17.0,1.08,23.4,0.4985416666666666,0.3827083333333334,16.2,49.69999999999999,84.5,1,0
55.3,0.71,22.0,3.02,23.5,0.4760833333333333,0.4163333333333334,68.39999999999999,104.7,96.5,1,2
1.5,2.96,9.0,2.34,24.2,0.4515416666666667,0.45275,64.3,102.0,79.0,1,0
1.6,3.26,6.0,1.39,23.5,0.4565416666666667,0.452625,58.4,90.09999999999998,70.5,1,0
2.7,3.05,6.0,1.08,24.4,0.4542083333333333,0.452,5.800000000000001,77.29999999999998,72.0,1,0
28.3,2.58,16.0,1.92,24.5,0.482875,0.4535833333333334,32.6,102.5,77.0,1,1
13.4,2.1,15.0,2.3,24.7,0.47275,0.4725,44.4,110.3,79.5,1,1
11.5,1.09,19.0,1.92,23.6,0.4781666666666666,0.485125,53.2,114.29999999999998,87.00000000000001,1,1
9.5,1.44,16.0,2.25,23.6,0.4843333333333333,0.490125,34.4,68.5,83.0,1,1
21.1,1.38,21.0,2.36,23.3,0.4917916666666667,0.5078333333333334,42.1,88.1,87.5,1,1
1.7,1.63,7.0,1.9,23.0,0.4965833333333333,0.505625,32.300000000000004,88.2,89.0,1,0
5.1,2.44,14.0,1.56,23.5,0.4990833333333333,0.5020416666666666,27.9,90.6,82.0,1,0
25.0,2.68,24.0,2.36,24.9,0.49275,0.5029583333333333,31.8,87.3,73.5,1,1
6.0,3.95,12.0,2.13,23.8,0.4686666666666666,0.5096666666666666,36.1,79.89999999999999,70.0,1,0
0.9,1.33,6.0,1.67,23.4,0.4633333333333334,0.501875,31.9,69.29999999999998,91.0,1,0
2.1,2.24,8.0,1.39,22.7,0.469375,0.4972083333333333,9.0,61.89999999999999,72.0,1,0
4.5,2.47,11.0,1.28,24.1,0.46875,0.4934583333333333,7.5,45.3,83.0,1,0
